id,cat_0,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_11,cat_12,cat_13,cat_14,cat_15,cat_16,cat_17,cat_18,cat_19,num_0,num_1,num_2,num_3,num_4,num_5,num_6,num_7,num_8,num_9,num_10,num_11,num_12,num_13,num_14,num_15,num_16,num_17,num_18,num_19,num_20,num_21,num_22,num_23,num_24,num_25,num_26,num_27,num_28,num_29,num_30,num_31,num_32,num_33,num_34,num_35,num_36,num_37,target
0,2,103,9,4,3,1,3,4,4,4,1,2,7,0,0,0,0,0,0,0,21,0.872821947,10.47288855,58.93333333,230,40,25.125,25.25,7.75,8.125,15.625,3,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0.089757919,0.000129426,0
1,0,177,6,2,2,1,2,4,4,4,1,1,7,0,0,0,0,0,0,0,30,2.265548228,0.245626195,103.6336813,574.5311284,40,29.82532193,14.37562306,13.41187235,13.72708216,10.22484944,0,0,0,0,0,0,0,0,0,0,3.87496756,0,0,0,0,0,0,0,0.96874189,0,0,0,0,0,0,0,0.000311792,0
2,7,70,7,4,5,0,3,4,4,4,1,1,5,0,0,0,0,0,0,0,164,1.092760896,7.533012568,79.98666667,458.71,55,24.375,1.5,3.75,5.625,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000164438,0
3,11,166,7,2,3,1,1,1,2,4,1,3,7,0,0,0,0,0,0,0,45,0.89579042,0.197853055,59.21364048,130.0921312,30,23.97283869,20.45128358,2.774445178,7.043516074,0,0,0,0,0,0,0,0,0,0,0,0.065187141,0,0,0,0,0,0,0,0.021729047,0,0.021729047,0,0,0,0,8.13E-05,0.00020541,0
4,0,178,10,4,3,0,4,4,4,4,1,1,7,0,0,0,0,0,0,0,22,0.542125566,10.28627682,82.21666667,510,29,27,0.625,10.25,2.375,7.5,27,0,0,0,2,0,0,2,0,0,30,30,0,0,0,0,1,0,30,30,0,0,0,0,0,6127.621124,0.0002983,0
5,27,200,9,4,3,1,5,4,4,4,1,1,7,0,0,0,0,0,0,0,25,1.782294522,10.99374945,131.98,760,20,24.33333333,40.66666667,10.66666667,13.83333333,6.166666667,0,0,0,0,0,0,0,0,10,0,30,30,0,0,0,4,6,0,30,3,30,0,0,0,0.708080292,25190.40616,0.000151492,0
6,19,37,7,4,5,1,3,4,4,4,1,1,1.995086279,1,1,1,1,1,1,1,54,0.257700884,8.439758421,57.96085402,450.0242246,28,15.88421323,0.24877157,1.379913721,0.99754314,1.119472064,0,0,0,0,0,0,0,1.990172558,0,0,29.9754314,25.94103535,0,0,0,0.004913721,0.014741163,0,20,1.034396046,0.024568605,0.009827442,0,0,0.002664759,459.7723818,0.000544497,0
7,7,58,7,4,4,1,6,4,4,4,1,1,7,0,0,0,0,0,0,0,58,0.095394588,9.348701024,56.275,200,40,2.833333333,0,0,0.5,0.5,16,0,0,0,0,0,0,0,0,0,29,26,0,0,0,0,0,0,0,14,0,0,0,0,0,0,6.76E-05,0
8,24,150,9,4,3,1,4,4,4,4,1,1,7,0,0,0,0,0,0,0,36,0.116975891,10.32049876,70.88333333,480,22,8.428571429,0.571428571,1,0,20.14285714,29,0,0,0,0,0,0,1,0,0,29,29,0,0,3,2,5,0,30,30,20,7,14,0,0.03168869,16255.09847,0.00010259,0
9,20,43,7,4,5,0,2,4,4,4,1,1,1,1,1,1,1,1,1,1,65,0.36979053,8.212667866,60,400,38,15.75,5.875,2.5,5.125,17.875,4,0,0,0,0,0,0,0,0,0,29,9,0,0,0,0,0,0,8,14,0,5,0,0,0,0,0.001014561,0
